,market_ids,firm_ids,prices,shares,satellite,wired,x,w
0,0,0,2.2074423993258128,0.01628658001862758,1.0,0.0,0.6169349704188017,0.5646904031604869
1,0,1,4.109470828346974,0.6571008317816187,1.0,0.0,0.20290776383196452,0.8397460495181505
2,0,2,3.2130953451574253,0.052682593382329536,0.0,1.0,0.28880894655049794,0.37688365480133446
3,0,3,2.866005274820738,0.01384310172315383,0.0,1.0,0.44506003743382583,0.49967599625985926
4,1,0,3.003385868120727,0.7231364921837673,1.0,0.0,0.5472265773689182,0.08130241162434704
5,1,1,2.8049519402207617,0.07168480927522161,1.0,0.0,0.1753736368261336,0.3241552033329199
6,1,2,4.075505136993448,0.007521361314583798,0.0,1.0,0.5955219571058655,0.9156513062006972
7,1,3,3.3277958186265764,0.00931200537730593,0.0,1.0,0.6072443852451421,0.8534523716298063
8,2,0,2.5189004799001053,0.28529788147333723,1.0,0.0,0.4085352753968343,0.594156501367661
9,2,1,4.120377753240141,0.09473330018879503,1.0,0.0,0.20072014024813267,0.9053655477983551
10,2,2,3.5306113358580005,0.03565404325467254,0.0,1.0,0.3339272763631298,0.42692771520585715
11,2,3,3.0512326543468067,0.40703064837590464,0.0,1.0,0.0980365916611744,0.9376107172016239
12,3,0,2.7152074337414938,0.026125238793816407,1.0,0.0,0.7448377539035795,0.9458708006923029
13,3,1,2.949109291193102,0.013661598581132256,1.0,0.0,0.01461730000575412,0.5699678314641291
14,3,2,3.0872175728621585,0.3738082642873582,0.0,1.0,0.3317908347898485,0.050203186325068705
15,3,3,2.2590731621297997,0.09380937061447317,0.0,1.0,0.9243405121611575,0.8846619378615642
16,4,0,2.3482283415197993,0.17173851697611398,1.0,0.0,0.18751931673001931,0.9113883286594711
17,4,1,2.781800930921685,0.292045158373034,1.0,0.0,0.5235155439345927,0.9430536033750413
18,4,2,2.771287378999702,0.15093071023356205,0.0,1.0,0.14924498962236055,0.4720196754114184
19,4,3,2.1866768604368207,0.12318753256336559,0.0,1.0,0.9497684048196244,0.2912931767205521
